id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	38	193	196	3	0	158	155	155
4	0	11	27	325	67	1	314	246	16
5	0	20	105	393	19	1	373	353	85
20	0	172	441	445	4	0	273	269	269
9	0	43	197	541	51	1	498	446	154
34	0	332	655	664	9	0	332	323	323
15	0	102	341	740	29	2	638	607	239
16	0	108	350	767	30	2	659	627	242
17	0	114	357	797	21	2	683	660	243
37	0	378	813	834	21	0	456	435	435
18	0	115	370	894	46	3	779	730	255
1	0	0	1	929	45	5	929	879	1
19	0	170	426	959	32	1	789	756	256
7	0	23	155	1002	48	2	979	929	132
45	0	461	1003	1007	4	0	546	542	542
23	0	222	509	1092	17	2	870	851	287
47	0	527	1093	1115	22	0	588	566	566
27	0	258	555	1180	18	1	922	903	297
30	0	270	581	1202	8	2	932	922	311
11	0	64	280	1247	19	4	1183	1160	216
36	0	376	798	1392	46	1	1016	969	422
39	0	390	841	1421	43	2	1031	986	451
40	0	413	895	1428	15	4	1015	996	482
41	0	415	905	1436	16	2	1021	1003	490
42	0	434	930	1451	11	1	1017	1005	496
46	0	470	1008	1471	11	2	1001	988	538
25	0	244	522	1587	31	3	1343	1309	278
49	0	545	1133	1590	4	6	1045	1035	588
28	0	261	561	1610	23	3	1349	1323	300
31	0	284	589	1645	44	2	1361	1315	305
13	0	78	316	1661	20	8	1583	1555	238
14	0	98	326	1678	82	4	1580	1494	228
3	0	9	21	1812	138	10	1803	1655	12
22	0	219	501	1819	33	4	1600	1563	282
26	0	256	542	1838	29	5	1582	1548	286
6	0	22	119	1957	64	8	1935	1863	97
43	0	446	960	1965	36	5	1519	1478	514
24	0	225	517	1981	36	15	1756	1705	292
50	0	560	1152	1990	37	4	1430	1389	592
32	0	285	595	2030	67	6	1745	1672	310
33	0	294	627	2041	66	9	1747	1672	333
44	0	457	964	2111	40	5	1654	1609	507
2	0	2	5	2173	176	9	2171	1986	3
35	0	364	768	2255	82	7	1891	1802	404
38	0	387	835	2269	71	10	1882	1801	448
21	0	196	456	2311	92	11	2115	2012	260
29	0	263	576	2365	91	17	2102	1994	313
10	0	57	248	2390	126	15	2333	2192	191
12	0	71	285	2411	116	22	2340	2202	214
48	0	536	1118	2462	97	28	1926	1801	582
0	0	0	0	2462	3	0	2462	2459	0
