id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
25	0	315	482	585	2	2	270	266	167
18	0	153	315	597	4	0	444	440	162
13	1	106	177	654	5	0	548	543	71
1	1	0	10	873	170	1	873	702	10
19	1	167	339	965	10	1	798	787	172
1	1	0	10	1005	172	1	1005	832	10
17	1	147	294	1039	4	1	892	887	147
5	2	24	36	1355	4	0	1331	1327	12
20	2	209	367	1408	13	1	1199	1185	158
16	2	144	271	1463	18	6	1319	1295	127
6	3	25	56	2104	37	17	2079	2025	31
23	4	284	430	2273	54	15	1989	1920	146
3	4	5	19	2326	8	0	2321	2313	14
24	5	291	454	2722	32	7	2431	2392	163
21	6	255	394	2932	38	5	2677	2634	139
15	6	140	261	3180	25	9	3040	3006	121
10	8	79	136	3766	32	1	3687	3654	57
8	9	32	89	3980	40	13	3948	3895	57
7	10	26	76	4057	22	2	4031	4007	50
22	10	261	407	4246	54	9	3985	3922	146
14	11	126	205	4429	53	22	4303	4228	79
12	12	96	157	4457	69	15	4361	4277	61
4	14	9	34	4625	63	19	4616	4534	25
2	17	2	12	4754	54	7	4752	4691	10
9	17	66	105	4782	74	14	4716	4628	39
0	0	0	0	4782	-20	0	4782	4802	0
