id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
24	0	343	434	455	21	0	112	91	91
13	0	200	576	599	23	0	399	376	376
16	0	236	609	714	17	2	478	459	373
15	0	214	757	828	37	2	614	575	543
20	0	287	791	840	16	2	553	535	504
1	0	0	10	975	81	5	975	889	10
6	0	95	679	1012	40	2	917	875	584
22	0	311	935	1025	20	3	714	691	624
17	0	238	279	1324	194	12	1086	880	41
10	0	125	186	1388	18	1	1263	1244	61
18	0	277	381	1427	33	3	1150	1114	104
8	0	110	1449	1521	34	2	1411	1375	1339
11	0	134	1477	1536	23	2	1402	1377	1343
4	0	53	84	1554	106	9	1501	1386	31
2	0	42	1564	1630	26	2	1588	1560	1522
21	0	288	487	1648	50	2	1360	1308	199
23	0	332	850	2002	99	11	1670	1560	518
5	0	79	2159	2286	62	2	2207	2143	2080
7	0	103	1734	2476	150	15	2373	2208	1631
14	0	213	2373	2512	47	1	2299	2251	2160
3	0	50	910	2761	121	11	2711	2579	860
19	0	284	423	3082	227	35	2798	2536	139
25	0	346	1051	3108	173	15	2762	2574	705
12	0	153	197	3351	274	30	3198	2894	44
9	0	116	563	3557	120	24	3441	3297	447
0	0	0	0	3557	-15	0	3557	3572	0
