id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	24	242	276	34	0	252	218	218
18	0	153	487	501	14	0	348	334	334
1	0	0	10	528	185	1	528	342	10
3	0	5	216	570	8	0	565	557	211
13	0	106	419	760	5	0	654	649	313
17	0	147	474	831	4	1	684	679	327
25	0	315	643	996	2	2	681	677	328
19	0	167	511	1165	30	1	998	967	344
20	0	209	552	1497	33	1	1288	1254	343
16	0	144	460	1971	68	6	1827	1753	316
7	0	26	318	2098	62	2	2072	2008	292
10	0	79	377	2539	32	1	2460	2427	298
15	0	140	447	2599	35	9	2459	2415	307
24	0	291	629	2862	82	7	2571	2482	338
21	0	255	593	3032	58	5	2777	2714	338
6	0	25	286	3242	107	17	3217	3093	261
8	0	32	349	3529	70	13	3497	3414	317
2	0	2	202	3715	64	7	3713	3642	200
22	0	261	604	3742	54	9	3481	3418	343
14	0	126	433	3902	113	22	3776	3641	307
23	0	284	618	3936	84	15	3652	3553	334
11	0	81	391	3961	80	13	3880	3787	310
4	0	9	230	4104	113	19	4095	3963	221
9	0	66	363	4146	144	14	4080	3922	297
12	0	96	405	4160	129	15	4064	3920	309
0	0	0	0	4160	-10	0	4160	4170	0
