id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	30	0	10	11	1	0	11	10	10
2	4	35	45	215	35	3	180	142	10
5	30	98	332	396	64	0	298	234	234
3	2	52	62	410	30	7	358	321	10
4	4	68	104	421	145	5	353	203	36
7	6	128	453	658	72	2	530	456	325
6	2	113	431	757	134	7	644	503	318
8	23	130	680	778	51	1	648	596	550
9	6	140	788	897	38	2	757	717	648
11	9	230	920	1020	18	1	790	771	690
12	12	248	931	1033	28	1	785	756	683
13	30	250	1055	1072	17	0	822	805	805
14	30	264	1093	1094	1	0	830	829	829
15	10	266	1104	1170	30	1	904	873	838
16	7	291	1195	1311	19	3	1020	998	904
17	3	339	1206	1381	45	3	1042	994	867
19	30	364	1422	1449	27	0	1085	1058	1058
18	9	358	1411	1490	16	2	1132	1114	1053
20	11	382	1514	1601	16	1	1219	1202	1132
10	5	192	801	1614	166	20	1422	1236	609
22	30	502	1640	1654	14	0	1152	1138	1138
21	7	473	1528	1686	53	5	1213	1155	1055
23	30	503	1696	1699	3	0	1196	1193	1193
25	30	524	1722	1739	17	0	1215	1198	1198
24	3	506	1709	1882	32	6	1376	1338	1203
27	30	560	1892	1908	16	0	1348	1332	1332
26	4	558	1760	1924	50	3	1366	1313	1202
29	10	609	1946	2013	33	1	1404	1370	1337
28	1	566	1934	2177	47	8	1611	1556	1368
30	1	682	2036	2243	74	9	1561	1478	1354
0	0	0	0	2243	-9	0	2243	2252	0
